Y.-T._NOUN	1954	1	1
Y.-T._NOUN	1957	3	3
Y.-T._NOUN	1960	1	1
Y.-T._NOUN	1962	6	5
Y.-T._NOUN	1963	2	2
Y.-T._NOUN	1964	3	2
Y.-T._NOUN	1965	1	1
Y.-T._NOUN	1966	2	2
Y.-T._NOUN	1968	7	6
Y.-T._NOUN	1969	3	3
Y.-T._NOUN	1970	10	9
Y.-T._NOUN	1971	5	5
Y.-T._NOUN	1972	9	5
Y.-T._NOUN	1973	11	7
Y.-T._NOUN	1974	26	8
Y.-T._NOUN	1975	12	9
Y.-T._NOUN	1976	13	11
Y.-T._NOUN	1977	12	11
Y.-T._NOUN	1978	15	14
Y.-T._NOUN	1979	16	14
Y.-T._NOUN	1980	45	35
Y.-T._NOUN	1981	33	24
Y.-T._NOUN	1982	71	36
Y.-T._NOUN	1983	48	37
Y.-T._NOUN	1984	45	30
Y.-T._NOUN	1985	35	28
Y.-T._NOUN	1986	48	35
Y.-T._NOUN	1987	54	37
Y.-T._NOUN	1988	39	31
Y.-T._NOUN	1989	63	40
Y.-T._NOUN	1990	63	45
Y.-T._NOUN	1991	78	51
Y.-T._NOUN	1992	84	52
Y.-T._NOUN	1993	93	67
Y.-T._NOUN	1994	100	66
Y.-T._NOUN	1995	133	99
Y.-T._NOUN	1996	106	81
Y.-T._NOUN	1997	160	100
Y.-T._NOUN	1998	74	59
Y.-T._NOUN	1999	146	89
Y.-T._NOUN	2000	119	83
Y.-T._NOUN	2001	154	99
Y.-T._NOUN	2002	133	101
Y.-T._NOUN	2003	154	93
Y.-T._NOUN	2004	333	159
Y.-T._NOUN	2005	234	159
Y.-T._NOUN	2006	311	145
Y.-T._NOUN	2007	249	178
Y.-T._NOUN	2008	237	148
Y.Liu_NOUN	1967	1	1
Y.Liu_NOUN	1976	1	1
Y.Liu_NOUN	1983	1	1
Y.Liu_NOUN	1989	3	1
Y.Liu_NOUN	1990	5	2
Y.Liu_NOUN	1991	3	3
Y.Liu_NOUN	1992	6	6
Y.Liu_NOUN	1993	1	1
Y.Liu_NOUN	1994	5	5
Y.Liu_NOUN	1995	2	2
Y.Liu_NOUN	1996	1	1
Y.Liu_NOUN	1997	4	4
Y.Liu_NOUN	1998	10	9
Y.Liu_NOUN	1999	6	5
Y.Liu_NOUN	2000	10	7
Y.Liu_NOUN	2001	10	7
Y.Liu_NOUN	2002	21	12
Y.Liu_NOUN	2003	17	14
Y.Liu_NOUN	2004	12	10
Y.Liu_NOUN	2005	16	14
Y.Liu_NOUN	2006	22	18
Y.Liu_NOUN	2007	22	19
Y.Liu_NOUN	2008	8	8
Y.S.E._NOUN	1930	1	1
Y.S.E._NOUN	1938	24	2
Y.S.E._NOUN	1951	25	2
Y.S.E._NOUN	1966	28	2
Y.S.E._NOUN	1967	2	2
Y.S.E._NOUN	1973	4	2
Y.S.E._NOUN	1974	1	1
Y.S.E._NOUN	1975	3	1
Y.S.E._NOUN	1976	3	3
Y.S.E._NOUN	1977	12	1
Y.S.E._NOUN	1978	3	2
Y.S.E._NOUN	1979	1	1
Y.S.E._NOUN	1980	4	4
Y.S.E._NOUN	1982	4	4
Y.S.E._NOUN	1983	3	3
Y.S.E._NOUN	1984	3	2
Y.S.E._NOUN	1985	1	1
Y.S.E._NOUN	1986	3	2
Y.S.E._NOUN	1987	1	1
Y.S.E._NOUN	1988	1	1
Y.S.E._NOUN	1989	4	2
Y.S.E._NOUN	1990	7	4
Y.S.E._NOUN	1991	1	1
Y.S.E._NOUN	1993	1	1
Y.S.E._NOUN	1994	4	4
Y.S.E._NOUN	1995	1	1
Y.S.E._NOUN	1996	1	1
Y.S.E._NOUN	1999	5	4
Y.S.E._NOUN	2000	3	3
Y.S.E._NOUN	2001	2	1
Y.S.E._NOUN	2002	4	2
Y.S.E._NOUN	2005	1	1
Y.S.E._NOUN	2006	16	4
Y.S.E._NOUN	2008	2	2
Y84_NOUN	1882	1	1
Y84_NOUN	1917	1	1
Y84_NOUN	1948	4	4
Y84_NOUN	1949	2	2
Y84_NOUN	1953	1	1
Y84_NOUN	1963	12	4
Y84_NOUN	1965	6	1
Y84_NOUN	1967	6	4
Y84_NOUN	1969	1	1
Y84_NOUN	1971	1	1
Y84_NOUN	1973	1	1
Y84_NOUN	1974	2	2
Y84_NOUN	1980	1	1
Y84_NOUN	1983	2	2
Y84_NOUN	1984	7	4
Y84_NOUN	1985	2	2
Y84_NOUN	1986	2	2
Y84_NOUN	1987	1	1
Y84_NOUN	1988	3	2
Y84_NOUN	1989	1	1
Y84_NOUN	1990	6	4
Y84_NOUN	1991	2	2
Y84_NOUN	1992	20	11
Y84_NOUN	1993	3	2
Y84_NOUN	1994	4	3
Y84_NOUN	1995	1	1
Y84_NOUN	1996	7	6
Y84_NOUN	1997	4	3
Y84_NOUN	1998	8	5
Y84_NOUN	2000	1	1
Y84_NOUN	2001	5	3
Y84_NOUN	2002	2	2
Y84_NOUN	2003	8	2
Y84_NOUN	2004	2	2
Y84_NOUN	2005	4	3
Y84_NOUN	2006	8	3
Y84_NOUN	2007	14	4
Y84_NOUN	2008	10	5
YABLO	1990	1	1
YABLO	1993	2	2
YABLO	1995	1	1
YABLO	1996	1	1
YABLO	1997	1	1
YABLO	1998	2	2
YABLO	2000	2	2
YABLO	2001	9	9
YABLO	2002	5	5
YABLO	2003	3	3
YABLO	2004	5	3
YABLO	2005	10	6
YABLO	2006	10	5
YABLO	2008	6	4
YAEN	1851	3	2
YAEN	1857	1	1
YAEN	1860	1	1
YAEN	1864	1	1
YAEN	1868	1	1
YAEN	1871	1	1
YAEN	1880	1	1
YAEN	1882	1	1
YAEN	1883	4	3
YAEN	1885	2	2
YAEN	1898	4	3
YAEN	1900	1	1
YAEN	1902	7	2
YAEN	1906	1	1
YAEN	1908	1	1
YAEN	1911	1	1
YAEN	1918	1	1
YAEN	1919	2	2
YAEN	1920	9	3
YAEN	1931	1	1
YAEN	1935	2	1
YAEN	1936	1	1
YAEN	1942	1	1
YAEN	1947	1	1
YAEN	1950	1	1
YAEN	1963	1	1
YAEN	1964	1	1
YAEN	1968	1	1
YAEN	1969	3	1
YAEN	1973	1	1
YAEN	1985	1	1
YAEN	2004	1	1
YAEN	2008	1	1
YANNI_PRON	1835	3	3
YANNI_PRON	1885	1	1
YANNI_PRON	1896	2	2
YANNI_PRON	1898	1	1
YANNI_PRON	1910	1	1
YANNI_PRON	1955	3	1
YANNI_PRON	1967	1	1
YANNI_PRON	1971	1	1
YANNI_PRON	1979	3	3
YANNI_PRON	1984	2	1
YANNI_PRON	1987	3	3
YANNI_PRON	1989	2	2
YANNI_PRON	1991	2	2
YANNI_PRON	1992	1	1
YANNI_PRON	1993	1	1
YANNI_PRON	1994	2	2
YANNI_PRON	1997	1	1
YANNI_PRON	1998	2	2
YANNI_PRON	1999	5	4
YANNI_PRON	2000	1	1
YANNI_PRON	2002	1	1
YANNI_PRON	2003	8	4
YANNI_PRON	2004	5	4
YANNI_PRON	2005	5	4
YANNI_PRON	2006	3	3
YANNI_PRON	2007	1	1
YARI_PRON	1815	1	1
YARI_PRON	1824	1	1
YARI_PRON	1848	1	1
YARI_PRON	1852	1	1
