K'il_NOUN	1749	1	1
K'il_NOUN	1813	1	1
K'il_NOUN	1821	1	1
K'il_NOUN	1824	1	1
K'il_NOUN	1837	2	1
K'il_NOUN	1839	2	2
K'il_NOUN	1846	2	2
K'il_NOUN	1847	5	1
K'il_NOUN	1853	1	1
K'il_NOUN	1856	6	1
K'il_NOUN	1859	1	1
K'il_NOUN	1868	4	4
K'il_NOUN	1869	33	6
K'il_NOUN	1870	2	1
K'il_NOUN	1873	14	3
K'il_NOUN	1875	14	2
K'il_NOUN	1876	1	1
K'il_NOUN	1877	1	1
K'il_NOUN	1885	1	1
K'il_NOUN	1895	1	1
K'il_NOUN	1897	1	1
K'il_NOUN	1898	1	1
K'il_NOUN	1899	1	1
K'il_NOUN	1900	1	1
K'il_NOUN	1906	2	2
K'il_NOUN	1910	6	4
K'il_NOUN	1911	2	1
K'il_NOUN	1915	6	6
K'il_NOUN	1917	2	2
K'il_NOUN	1920	8	8
K'il_NOUN	1922	2	2
K'il_NOUN	1931	1	1
K'il_NOUN	1934	4	4
K'il_NOUN	1935	3	3
K'il_NOUN	1938	5	3
K'il_NOUN	1939	4	4
K'il_NOUN	1940	2	1
K'il_NOUN	1945	5	1
K'il_NOUN	1950	1	1
K'il_NOUN	1953	1	1
K'il_NOUN	1957	1	1
K'il_NOUN	1959	1	1
K'il_NOUN	1960	3	3
K'il_NOUN	1963	4	2
K'il_NOUN	1964	1	1
K'il_NOUN	1966	3	3
K'il_NOUN	1967	4	2
K'il_NOUN	1968	2	2
K'il_NOUN	1969	1	1
K'il_NOUN	1970	1	1
K'il_NOUN	1971	1	1
K'il_NOUN	1972	2	2
K'il_NOUN	1974	8	6
K'il_NOUN	1976	1	1
K'il_NOUN	1978	7	4
K'il_NOUN	1979	6	3
K'il_NOUN	1980	1	1
K'il_NOUN	1982	3	2
K'il_NOUN	1984	2	1
K'il_NOUN	1985	1	1
K'il_NOUN	1990	2	2
K'il_NOUN	1991	3	2
K'il_NOUN	1992	2	2
K'il_NOUN	1993	1	1
K'il_NOUN	1994	4	2
K'il_NOUN	1995	5	4
K'il_NOUN	1996	2	2
K'il_NOUN	1997	1	1
K'il_NOUN	1998	7	5
K'il_NOUN	1999	4	2
K'il_NOUN	2000	4	4
K'il_NOUN	2001	3	2
K'il_NOUN	2002	4	4
K'il_NOUN	2003	4	4
K'il_NOUN	2004	7	2
K'il_NOUN	2005	2	2
K'il_NOUN	2007	13	6
K'il_NOUN	2008	6	6
K'on	1808	1	1
